qNum,qScore,qCat,qSubCat
1,1,RFP,Teamwork
2,1,RFP,Teamwork
3,1,RFP,Teamwork
4,1,RFP,Development
5,1,CM,Compassion
6,1,CM,PurposeValues
7,1,EPS,Teamwork
8,1,EPS,Engagement
9,1,RFP,Development
10,1,RFP,Development
11,1,CM,Communication
12,1,CM,Communication
13,1,CM,Compassion
14,1,EPS,Compassion
15,1,EPS,Compassion
16,1,CM,Communication
17,1,CM,Engagement
18,1,CM,Engagement
19,1,EPS,Compassion
20,1,SrLdr,Communication
21,1,CM,Compassion
22,1,CM,Vulnerability
23,1,CM,Engagement
24,1,RFP,PurposeValues
25,1,LdrSpv,Engagement
26,1,RFP,Compassion
27,1,CM,Compassion
28,1,RFP,Compassion
29,1,LdrSpv,SeekToUnderstand
30,1,LdrSpv,Compassion
31,1,RFP,Development
32,1,LdrSpv,Teamwork
33,2,SrLdr,PurposeValues
34,2,LdrSpv,Compassion
35,2,RFP,Development
36,2,EPS,Vulnerability
37,2,EPS,Vulnerability
38,2,EPS,Vulnerability
39,2,EPS,Vulnerability
40,2,EPS,Vulnerability
41,2,CM,PurposeValues
42,2,EPS,Vulnerability
43,2,EPS,Vulnerability
44,2,EPS,Vulnerability
45,2,EPS,Engagement
46,2,EPS,Vulnerability
47,2,LdrSpv,Courage
48,2,LdrSpv,Compassion
49,2,SrLdr,PurposeValues
50,2,RFP,PurposeValues
51,2,RFP,Development
52,2,EPS,Vulnerability
53,2,EPS,Vulnerability
54,2,EPS,Vulnerability
55,2,EPS,Compassion
56,2,SrLdr,PurposeValues
57,5,SrLdr,Trust
58,5,LdrSpv,Trust
59,5,RFP,Trust
60,5,RFP,Engagement
61,-5,RFP,PurposeValues
62,-5,RFP,SeekToUnderstand